,Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel",GINI Index(Household Income)
262,Cambodia,2019,4.99828481674194,8.31461334228516,0.759175479412079,62,0.956799209117889,0.012114056386054,0.828444480895996,0.84435373544693,0.389586299657822,0.746164351701736,-0.51229186852773,-0.876522799332937,2.82560467720032,0.565314888954163,0.382800789525595,0.627576291561127
273,Cameroon,2016,4.81623220443726,8.09708023071289,0.659299790859222,51.0999984741211,0.712507009506226,-0.004436557646841,0.879450559616089,0.661523461341858,0.3670933842659,0.62122106552124,-1.0475537776947,-0.936051309108734,2.36325097084045,0.490684598684311,0.438333333333333,0.559192836284637
274,Cameroon,2017,5.07405138015747,8.1055793762207,0.694596409797668,51.9000015258789,0.766945004463196,-0.029375595971942,0.84358561038971,0.632338762283325,0.377498745918274,0.578775525093079,-1.0738924741745,-0.966855406761169,2.81522440910339,0.554827749729157,0.438333333333333,0.56523722410202
275,Cameroon,2018,5.25073766708374,8.11732864379883,0.676825225353241,52.7000007629395,0.816304981708527,0.034764774143696,0.884441614151001,0.642436504364014,0.355642408132553,0.645226299762726,-1.2399914264679,-0.957109808921814,2.92131352424622,0.556362509727478,0.438333333333333,0.521751046180725
276,Cameroon,2019,4.93673753738403,8.13274192810059,0.710964739322662,53.5,0.711500287055969,-0.00884928368032,0.817170262336731,0.629451155662537,0.326395004987717,0.546259164810181,-1.12047922611237,-0.953338841597239,2.73593997955322,0.554199993610382,0.438333333333333,0.504211723804474
287,Canada,2016,7.24484586715698,10.6715269088745,0.924392521381378,73.1999969482422,0.91242390871048,0.209021002054214,0.385090440511703,0.824586391448975,0.237422868609428,0.618195295333862,1.35199952125549,1.83782315254211,1.7764630317688,0.245203703641891,0.3368,0.606446325778961
288,Canada,2017,7.41486835479736,10.6890182495117,0.933748960494995,73.4000015258789,0.945145010948181,0.160873085260391,0.362034320831299,0.862773478031158,0.217981159687042,0.652735948562622,1.2910795211792,1.86653542518616,1.60336375236511,0.216236308217049,0.3368,0.60134893655777
289,Canada,2018,7.17549657821655,10.6935367584229,0.92271876335144,73.5999984741211,0.945782899856567,0.10415755212307,0.371740847826004,0.823668658733368,0.259397655725479,0.61046689748764,1.25602269172668,1.75642776489258,1.76445746421814,0.245900392532349,0.3368,0.46544224023819
290,Canada,2019,7.10907649993897,10.6944952011108,0.925303995609283,73.8000030517578,0.91152560710907,0.109736613929272,0.436434417963028,0.822443068027496,0.284833759069443,0.549280941486359,1.29970057805379,1.82026211420695,1.78445446491241,0.251010715961456,0.3368,0.498264729976654
306,Chad,2016,4.02935028076172,7.53064203262329,0.616204857826233,47.2000007629395,0.52522212266922,0.039693962782621,0.819788873195648,0.582458257675171,0.467566758394241,0.513021767139435,-1.32911252975464,-1.38943159580231,2.43553280830383,0.604448020458221,0.4155,0.503331780433655
307,Chad,2017,4.55893707275391,7.46952390670776,0.660615563392639,47.7000007629395,0.61484968662262,-0.004402440041304,0.792389929294586,0.627503156661987,0.538245439529419,0.473544389009476,-1.32978022098541,-1.35193431377411,2.88096046447754,0.63193690776825,0.4155,0.561519265174866
308,Chad,2018,4.48632526397705,7.46535873413086,0.577253580093384,48.2000007629395,0.650354564189911,0.011778939515352,0.762879312038422,0.552737295627594,0.543836236000061,0.577436029911041,-1.46673250198364,-1.33920741081238,3.10762143135071,0.692687511444092,0.4155,0.607654750347137
309,Chad,2019,4.25079917907715,7.46865558624268,0.640452086925507,48.7000007629395,0.537245690822601,0.042452562600374,0.832283496856689,0.587211191654205,0.460061281919479,0.571986496448517,-1.37520841757456,-1.36019110679626,3.1375241279602,0.738102197647095,0.4155,0.62782609462738
320,Chile,2016,6.57905626296997,10.0137414932251,0.841388165950775,69.6999969482422,0.652289748191834,0.098251588642597,0.858124971389771,0.869228899478912,0.283042103052139,0.203538864850998,0.704125225543976,1.16328501701355,1.98625540733337,0.301905810832977,0.488375,0.480138570070267
321,Chile,2017,6.32011938095093,10.0122003555298,0.879840791225433,69.8000030517578,0.790116488933563,-0.024296479299665,0.835987508296967,0.838474810123444,0.29104208946228,0.268283307552338,0.707897543907166,1.05741691589355,2.16242027282715,0.342148631811142,0.488375,0.574647009372711
322,Chile,2018,6.43622064590454,10.0377473831177,0.89008492231369,69.9000015258789,0.788530349731445,-0.064061932265759,0.81629741191864,0.832562208175659,0.275820225477219,0.334744155406952,0.740085482597351,1.13878405094147,2.15299844741821,0.334512829780579,0.488375,0.434312701225281
323,Chile,2019,5.94225025177002,10.0461750030518,0.869121909141541,70,0.659176766872406,-0.107812792062759,0.860491573810577,0.808616518974304,0.337243795394897,0.152523443102837,0.717369417349497,1.11982866128286,2.11558818817139,0.356024742126465,0.488375,0.411149084568024
334,China,2016,5.32495594024658,9.57280254364014,0.741703033447266,68.6999969482422,0.900117178757986,-0.239956885576248,0.731486358811194,0.826144397258758,0.145625159144402,0.496353612307505,-1.0303407907486,-0.124518506228924,1.99633800983429,0.374902248382568,0.413,0.538626551628113
335,China,2017,5.09906148910522,9.63259696960449,0.772033214569092,69,0.877617597579956,-0.187219470739365,0.731486358811194,0.821097254753113,0.214004755020142,0.496353612307505,-0.867896020412445,-0.06501005589962,2.27166390419006,0.445506274700165,0.413,0.633354961872101
336,China,2018,5.13143396377564,9.69195079803467,0.787605345249176,69.3000030517578,0.895377695560455,-0.170874729752541,0.731486358811194,0.855783879756928,0.189639791846275,0.496353612307505,-0.855219721794128,-0.032678011804819,2.26285910606384,0.440979868173599,0.413,0.538205683231354
337,China,2019,5.14412021636963,9.74744319915772,0.821935892105102,69.5999984741211,0.927356243133545,-0.18545725941658,0.731486358811194,0.890779852867126,0.14651183784008,0.496353612307505,-0.91781884431839,-0.074068857977788,2.24714374542236,0.43683734536171,0.413,0.504745662212372
